"applicability","country","identifier","message","name","otherReasonInfo","reason","region","regulationExemption","restriction","restrictionConditions","type","uSpaceClass","zoneAuthority_contactName","zoneAuthority_email","zoneAuthority_intervalBefore","zoneAuthority_name","zoneAuthority_phone","zoneAuthority_purpose","zoneAuthority_service","zoneAuthority_siteURL"
"NO","FXX","29","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 18 A4] Région maritime Atlantique BREST","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
"NO","FXX","30","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 18 A5] Région maritime Atlantique BREST","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
"NO","FXX","31","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 18 B1] Région maritime Atlantique BREST","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
"NO","FXX","32","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 18 B2] Région maritime Atlantique BREST","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
"NO","FXX","33","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 18 B3] Région maritime Atlantique BREST","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
"NO","FXX","34","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 19] GIVRY","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
"NO","FXX","35","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 31 D] CAZAUX","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
"NO","FXX","36","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 32]","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
"NO","FXX","37","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 33]","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
"NO","FXX","38","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 42 A] FRONHOLTZ","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
"NO","FXX","39","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 42 B] FRONHOLTZ","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
"NO","FXX","40","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 54 A1] TOULON","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
"NO","FXX","41","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 54 A2] TOULON","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
"NO","FXX","42","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 54 A3] TOULON","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
"NO","FXX","43","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 54 A4] TOULON","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
"NO","FXX","44","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 54 B1] TOULON","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
"NO","FXX","45","Vols interdits sauf lorsque la publication d'information aéronautique l'autorise explicitement ou avec l'accord du gestionnaire de la zone lorsqu'il est désigné par l'information aéronautique","[LF][D 54 B2] TOULON","Zone dangereuse","OTHER",799,"","PROHIBITED","","COMMON","","","","","Autorité mentionnée en ENR 5.1 de l’AIP","","","",""
